id,last_scraped,days,host_since,country,room_type,bathrooms,bedrooms,price,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_value,instant_bookable,Sydney
16194102,42829,489,42340,Australia,Entire home/apt,2,2,152,0,,,,t,1
16231561,42830,160,42670,Australia,Entire home/apt,1,0,95,19,10,10,9,t,1
15526112,42830,480,42350,Australia,Entire home/apt,1,3,300,4,10,10,9,f,1
4849322,42830,1486,41344,Australia,Private room,2,1,75,23,9,10,10,f,1
11537464,42829,403,42426,Australia,Entire home/apt,4,4,1000,1,10,10,8,f,1
8956578,42829,541,42288,Australia,Entire home/apt,2,3,250,4,10,10,9,f,1
15749144,42829,156,42673,Australia,Entire home/apt,1,1,85,1,10,10,10,f,1
8377514,42830,569,42261,Australia,Entire home/apt,2,2,92,2,10,10,9,f,1
14659573,42829,532,42297,Australia,Entire home/apt,1,3,395,9,10,8,9,t,1
16229346,42829,419,42410,Australia,Entire home/apt,2,2,200,1,10,10,8,f,1
9298744,42829,673,42156,Australia,Entire home/apt,1,1,99,26,10,10,10,f,1
9079745,42829,528,42301,Australia,Entire home/apt,3.5,6,950,17,10,10,9,f,1
4608308,42829,1206,41623,Australia,Entire home/apt,1,1,166,6,10,10,9,f,1
16221455,42829,444,42385,Australia,Entire home/apt,1,1,100,5,10,10,10,f,1
9959193,42829,479,42350,Australia,Entire home/apt,1,0,100,25,10,10,10,f,1
4584595,42830,872,41958,Australia,Entire home/apt,1,3,399,1,10,10,10,f,1
13629460,42830,547,42283,Australia,Private room,1,1,89,0,,,,f,1
16770866,42830,600,42230,Australia,Entire home/apt,1,1,141,0,,,,t,1
17497905,42830,202,42628,Australia,Private room,1,0,120,5,10,10,10,t,1
9243937,42830,534,42296,Australia,Entire home/apt,2,4,399,1,10,8,10,t,1
17847325,42829,13,42816,Australia,Entire home/apt,2,2,180,0,,,,t,1
13520997,42829,1043,41786,Australia,Private room,1,1,150,0,,,,f,1
15329201,42830,367,42463,Australia,Entire home/apt,1,0,75,10,10,9,10,f,1
7873019,42829,599,42230,Australia,Entire home/apt,2,3,100,10,10,9,9,f,1
11064388,42829,935,41894,Australia,Entire home/apt,3,6,1401,0,,,,f,1
9960465,42830,479,42351,Australia,Entire home/apt,2,3,200,0,,,,f,1
16182270,42829,456,42373,Australia,Entire home/apt,2,4,208,0,,,,f,1
301574,42829,2849,39980,Australia,Entire home/apt,2,3,208,0,,,,f,1
16054572,42829,135,42694,Australia,Entire home/apt,1,2,189,8,10,9,10,f,1
17496695,42829,35,42794,Australia,Entire home/apt,1.5,2,150,0,,,,f,1
15261711,42829,1291,41538,Australia,Entire home/apt,1,1,175,45,10,10,10,t,1
6546396,42829,679,42150,Australia,Entire home/apt,1,2,120,6,10,10,10,f,1
3669962,42830,1414,41416,Australia,Private room,1,1,95,41,9,10,10,f,1
8691754,42830,667,42163,Australia,Private room,1,1,169,20,10,10,10,t,1
17998724,42829,3,42826,Australia,Entire home/apt,1,3,250,0,,,,t,1
17097317,42829,60,42769,Australia,Entire home/apt,1.5,2,300,0,,,,t,1
14455472,42829,237,42592,Australia,Private room,1,1,250,0,,,,t,1
13361911,42829,476,42353,Australia,Entire home/apt,1.5,3,451,1,10,8,10,f,1
6092940,42830,716,42114,Australia,Entire home/apt,1,1,100,34,10,10,10,f,1
9829360,42830,486,42344,Australia,Entire home/apt,1,4,210,0,,,,f,1
4345073,42829,1277,41552,Australia,Entire home/apt,1,0,175,105,10,10,9,t,1
16246993,42830,121,42709,Australia,Entire home/apt,1,3,451,0,,,,t,1
16740367,42830,265,42565,Australia,Private room,1,1,148,8,10,10,10,f,1
5673520,42829,1002,41827,Australia,Private room,2,1,66,0,,,,f,1
10417407,42830,816,42014,Australia,Entire home/apt,1,1,120,61,10,10,10,f,1
9012648,42829,532,42297,Australia,Private room,1,1,275,5,10,10,10,t,1
16245554,42829,673,42156,Australia,Entire home/apt,1,1,99,4,8,10,10,t,1
16314852,42830,456,42374,Australia,Private room,1,1,197,7,9,10,9,f,1
1240947,42829,1398,41431,Australia,Private room,1,1,200,30,10,10,9,f,1
13098938,42829,512,42317,Australia,Private room,1,1,210,0,,,,f,1
16900534,42829,569,42260,Australia,Private room,1,1,71,6,10,10,8,f,1
3321966,42829,1025,41804,Australia,Entire home/apt,1,1,100,45,10,10,10,f,1
4387830,42830,928,41902,Australia,Entire home/apt,2,3,399,2,8,10,10,t,1
8906623,42830,539,42291,Australia,Entire home/apt,1,2,200,11,10,10,10,t,1
12840533,42830,779,42051,Australia,Entire home/apt,1,3,250,16,9,10,8,f,1
1700345,42829,1291,41538,Australia,Entire home/apt,1,1,110,21,10,10,10,f,1
13362491,42829,304,42525,Australia,Entire home/apt,2,3,226,0,,,,t,1
16327850,42828,926,41902,Australia,Entire home/apt,1,2,115,14,10,10,9,t,1
12057230,42830,374,42456,Australia,Entire home/apt,1,1,179,27,10,10,10,t,1
13270276,42830,1456,41374,Australia,Entire home/apt,1,1,150,19,9,10,10,t,1
15604936,42829,1577,41252,Australia,Private room,2.5,1,95,3,9,10,10,f,1
9369359,42830,513,42317,Australia,Private room,1,1,210,4,10,10,10,f,1
9670287,42829,740,42089,Australia,Private room,1,1,145,0,,,,f,1
1472836,42829,1441,41388,Australia,Private room,1,1,121,1,10,10,8,f,1
10809667,42830,573,42257,Australia,Entire home/apt,1.5,1,110,3,10,10,10,f,1
16975092,42829,481,42348,Australia,Entire home/apt,1,2,105,0,,,,t,1
85050,42829,2200,40629,Australia,Private room,1,1,150,4,9,10,8,f,1
17180014,42829,1341,41488,Australia,Entire home/apt,1,2,125,0,,,,t,1
909118,42829,1527,41302,Australia,Entire home/apt,1,1,100,82,10,10,10,f,1
4652541,42830,864,41966,Australia,Entire home/apt,1,1,83,48,9,9,9,f,1
11045671,42829,426,42403,Australia,Entire home/apt,2.5,4,390,2,10,9,9,f,1
13497494,42830,296,42534,Australia,Entire home/apt,1,2,250,3,9,10,9,f,1
5894600,42830,732,42098,Australia,Entire home/apt,1.5,2,850,0,,,,t,1
7663288,42830,613,42217,Australia,Entire home/apt,1,0,141,6,10,10,10,f,1
6278245,42829,1715,41114,Australia,Entire home/apt,2,3,1000,4,10,10,9,f,1
15525086,42829,170,42659,Australia,Entire home/apt,2,3,250,1,8,10,10,f,1
10272778,42829,702,42127,Australia,Entire home/apt,2,4,399,5,10,10,10,f,1
9494426,42829,639,42190,Australia,Entire home/apt,3,5,1000,1,10,10,10,f,1
9632154,42830,828,42002,Australia,Entire home/apt,1.5,3,570,0,,,,f,1
11532982,42830,847,41983,Australia,Entire home/apt,2.5,3,451,7,10,10,10,f,1
11722615,42829,741,42088,Australia,Entire home/apt,3.5,5,750,1,10,10,10,f,1
13099178,42829,741,42088,Australia,Entire home/apt,3,4,551,10,10,9,9,f,1
13625600,42830,1994,40836,Australia,Entire home/apt,3.5,6,487,8,9,10,10,f,1
14672423,42829,338,42491,Australia,Entire home/apt,2,3,501,3,10,10,10,t,1
15859145,42830,416,42414,Australia,Entire home/apt,2,4,300,6,10,10,10,f,1
15919108,42830,2011,40819,Australia,Entire home/apt,2,3,551,0,,,,t,1
4582454,42830,876,41954,Australia,Shared room,1,1,130,0,,,,f,1
10812656,42830,437,42393,Australia,Entire home/apt,2,3,325,2,9,10,10,f,1
7795040,42830,912,41918,Australia,Entire home/apt,1,1,200,4,10,10,9,f,1
9610800,42829,1167,41662,Australia,Entire home/apt,2,3,551,16,10,10,10,f,1
4041037,42829,996,41833,Australia,Entire home/apt,2,3,451,24,10,10,10,f,1
7076226,42830,953,41877,Australia,Entire home/apt,2,4,713,1,10,8,6,f,1
17480992,42829,2123,40706,Australia,Entire home/apt,1,0,399,0,,,,f,1
9038152,42830,1136,41694,Australia,Entire home/apt,2,3,1150,0,,,,f,1
9224012,42829,519,42310,Australia,Entire home/apt,1,3,219,0,,,,f,1
12175980,42829,368,42461,Australia,Entire home/apt,3,4,255,0,,,,f,1
3994283,42830,952,41878,Australia,Entire home/apt,1,1,120,0,,,,f,1
4868526,42829,836,41993,Australia,Entire home/apt,1,2,290,10,10,9,9,f,1
15515643,42830,182,42648,Australia,Entire home/apt,2.5,4,349,1,10,8,10,f,1
6928748,42829,1069,41760,Australia,Entire home/apt,1,2,200,13,9,8,7,f,1
15059917,42829,741,42088,Australia,Entire home/apt,3,4,850,0,,,,f,1
12766826,42829,1055,41774,Australia,Entire home/apt,2.5,4,171,0,,,,f,1
16216438,42830,953,41877,Australia,Entire home/apt,3,3,713,1,10,10,8,f,1
17560991,42829,30,42799,Australia,Entire home/apt,2.5,3,1000,0,,,,t,1
1764733,42830,1955,40875,Australia,Entire home/apt,2,4,330,16,8,10,9,f,1
10141270,42829,469,42360,Australia,Entire home/apt,1,1,219,2,8,10,8,f,1
15573885,42829,167,42662,Australia,Entire home/apt,2,2,280,1,10,10,10,f,1
6092950,42830,717,42113,Australia,Entire home/apt,1,1,120,12,10,10,10,t,1
15451635,42829,462,42367,Australia,Entire home/apt,7,5,1500,0,,,,f,1
8454503,42828,565,42263,Australia,Entire home/apt,1,1,160,21,10,10,10,f,1
8257918,42828,574,42254,Australia,Entire home/apt,2,3,194,14,10,10,10,f,1
852229,42828,1565,41263,Australia,Entire home/apt,2,3,1000,9,6,9,6,f,1
12058917,42828,583,42245,Australia,Entire home/apt,2,4,393,2,10,10,10,f,1
14614860,42828,897,41931,Australia,Entire home/apt,1,4,495,6,8,9,8,f,1
4325710,42828,904,41924,Australia,Entire home/apt,3,4,950,0,,,,f,1
9098307,42828,525,42303,Australia,Entire home/apt,2,3,524,1,,,,f,1
12256225,42828,740,42088,Australia,Entire home/apt,3,3,750,2,10,10,10,f,1
4260877,42828,1410,41418,Australia,Entire home/apt,1,3,240,36,10,10,9,f,1
853445,42828,1564,41264,Australia,Entire home/apt,1.5,3,145,133,10,10,10,f,1
12977708,42828,1059,41769,Australia,Entire home/apt,2,2,350,10,10,10,10,f,1
3167854,42828,1042,41786,Australia,Private room,1,1,66,7,10,9,10,f,1
14157479,42828,253,42575,Australia,Entire home/apt,4,4,499,0,,,,f,1
14221811,42828,740,42088,Australia,Entire home/apt,3,5,1332,1,10,10,8,f,1
10191224,42828,569,42259,Australia,Entire home/apt,1,1,121,2,10,10,10,f,1
16124062,42828,281,42547,Australia,Entire home/apt,1,3,210,8,8,10,9,f,1
2099368,42828,1201,41627,Australia,Entire home/apt,1,0,220,94,10,10,10,f,1
16517361,42828,654,42174,Australia,Entire home/apt,1,0,100,2,4,4,4,t,1
10553708,42828,506,42322,Australia,Entire home/apt,2,3,551,2,9,9,9,f,1
7421951,42828,1100,41728,Australia,Entire home/apt,4.5,5,650,1,10,10,10,f,1
15314015,42828,670,42158,Australia,Entire home/apt,1,1,176,34,10,10,10,t,1
16591989,42828,92,42736,Australia,Entire home/apt,3.5,4,1100,0,,,,f,1
12258063,42828,740,42088,Australia,Entire home/apt,2.5,4,901,0,,,,f,1
15862554,42828,599,42229,Australia,Private room,1,1,180,5,10,10,9,t,1
10464404,42828,579,42249,Australia,Entire home/apt,2,4,350,1,10,8,8,f,1
9177970,42828,639,42189,Australia,Entire home/apt,5,4,700,16,9,9,9,f,1
12258251,42828,740,42088,Australia,Entire home/apt,4,5,1000,0,,,,f,1
16976870,42828,338,42490,Australia,Entire home/apt,2.5,3,201,0,,,,t,1
5377028,42828,889,41939,Australia,Private room,1,1,180,5,10,10,10,f,1
16059408,42828,1161,41667,Australia,Entire home/apt,2,3,300,1,10,10,10,f,1
12258548,42828,740,42088,Australia,Entire home/apt,3,4,800,1,10,10,8,f,1
13569272,42828,870,41958,Australia,Entire home/apt,1,1,90,28,10,10,10,f,1
1051911,42828,1459,41369,Australia,Entire home/apt,2,2,250,4,10,10,9,f,1
16125195,42828,959,41869,Australia,Private room,1,1,100,3,10,10,10,f,1
11799778,42828,806,42022,Australia,Entire home/apt,1,1,250,38,10,10,10,f,1
14361652,42828,886,41942,Australia,Entire home/apt,1,2,269,6,10,10,9,f,1
7549109,42828,617,42211,Australia,Entire home/apt,1,2,450,5,10,10,10,f,1
5907533,42828,795,42033,Australia,Entire home/apt,2.5,4,750,13,9,9,9,f,1
8924649,42828,536,42292,Australia,Entire home/apt,3,4,1000,18,10,10,9,f,1
4662381,42828,1405,41423,Australia,Entire home/apt,1,3,400,0,,,,f,1
11538681,42828,1311,41517,Australia,Entire home/apt,2,3,220,0,,,,f,1
7999743,42828,590,42238,Australia,Private room,1,1,149,35,10,10,10,t,1
5708475,42828,754,42074,Australia,Entire home/apt,1.5,3,600,2,8,10,9,f,1
5118661,42828,803,42025,Australia,Entire home/apt,4,5,1100,1,8,10,8,f,1
15606947,42828,990,41838,Australia,Entire home/apt,1,3,250,0,,,,f,1
15148233,42828,771,42057,Australia,Entire home/apt,3,4,430,0,,,,f,1
14954105,42828,1674,41154,Australia,Entire home/apt,2,2,350,5,9,10,10,f,1
9252474,42828,951,41877,Australia,Entire home/apt,2,3,700,2,10,9,8,f,1
13116763,42828,398,42430,Australia,Private room,1,1,125,11,10,10,10,f,1
4326148,42828,1008,41820,Australia,Entire home/apt,1,3,275,11,10,10,9,f,1
12920184,42828,356,42472,Australia,Private room,1.5,1,250,18,10,10,9,t,1
11240203,42828,491,42337,Australia,Private room,1,1,73,1,8,10,8,f,1
6364143,42828,693,42135,Australia,Entire home/apt,2.5,4,400,1,10,10,10,f,1
1910165,42828,1241,41587,Australia,Private room,1,1,160,63,10,10,9,f,1
14951907,42828,1143,41685,Australia,Entire home/apt,1,2,600,30,10,10,9,t,1
12857112,42828,335,42493,Australia,Entire home/apt,3,4,558,2,10,10,10,f,1
4589145,42828,874,41954,Australia,Private room,1,1,125,8,10,9,8,f,1
929559,42828,1516,41312,Australia,Entire home/apt,2.5,5,204,41,7,9,9,f,1
9119318,42828,1034,41794,Australia,Entire home/apt,2,4,627,0,,,,f,1
10752795,42828,1714,41114,Australia,Entire home/apt,2,5,1300,4,10,10,10,f,1
11808615,42828,726,42102,Australia,Entire home/apt,1,0,121,4,7,8,8,f,1
9510074,42828,740,42088,Australia,Entire home/apt,3,3,901,0,,,,f,1
10102438,42828,707,42121,Australia,Entire home/apt,1,2,180,28,10,10,10,f,1
7808710,42828,602,42226,Australia,Entire home/apt,2,3,570,5,9,10,9,f,1
4927328,42828,825,42003,Australia,Entire home/apt,1,1,185,106,10,10,10,f,1
14359774,42828,242,42586,Australia,Entire home/apt,2,3,650,2,9,10,9,f,1
17718593,42828,20,42808,Australia,Entire home/apt,1,1,176,0,,,,f,1
9712708,42828,491,42337,Australia,Entire home/apt,2,4,292,45,9,9,9,f,1
8992184,42828,2113,40715,Australia,Entire home/apt,4,5,750,0,,,,f,1
143280,42828,2121,40707,Australia,Entire home/apt,1,3,170,18,10,10,10,f,1
3093589,42828,1050,41778,Australia,Entire home/apt,1,2,229,17,10,10,10,f,1
9318323,42828,785,42043,Australia,Entire home/apt,3,5,422,2,10,10,10,t,1
16126952,42828,524,42304,Australia,Entire home/apt,2.5,3,380,1,6,8,8,f,1
8000510,42828,590,42238,Australia,Entire home/apt,1,2,98,0,,,,f,1
10237028,42828,643,42185,Australia,Entire home/apt,1,0,90,17,9,10,9,f,1
10902870,42828,1107,41721,Australia,Entire home/apt,1.5,3,180,9,10,10,10,f,1
10366979,42828,493,42335,Australia,Entire home/apt,2,2,950,7,10,10,9,f,1
12915777,42828,971,41857,Australia,Entire home/apt,1,2,165,6,10,10,10,f,1
11806617,42828,385,42443,Australia,Entire home/apt,1.5,2,90,35,7,9,9,f,1
6292330,42828,825,42003,Australia,Entire home/apt,3,5,1000,2,9,9,9,f,1
11020285,42828,1695,41133,Australia,Entire home/apt,2,2,499,0,,,,f,1
17179548,42828,387,42441,Australia,Entire home/apt,2,5,250,0,,,,f,1
9516175,42828,502,42326,Australia,Entire home/apt,2.5,4,1100,0,,,,f,1
16651456,42828,88,42740,Australia,Entire home/apt,2,2,195,0,,,,f,1
5253206,42828,1052,41776,Australia,Entire home/apt,2,4,300,5,10,10,10,f,1
1276799,42828,1387,41441,Australia,Entire home/apt,1,3,395,9,10,10,9,f,1
4076976,42828,937,41891,Australia,Entire home/apt,1,1,220,51,10,10,9,f,1
10299532,42828,1253,41575,Australia,Entire home/apt,2,4,176,14,10,9,10,f,1
4207786,42828,919,41909,Australia,Entire home/apt,2,2,80,18,10,10,9,f,1
4988605,42828,935,41893,Australia,Entire home/apt,2,4,475,0,,,,f,1
6391071,42828,1209,41619,Australia,Entire home/apt,2,3,849,4,10,10,9,f,1
5185223,42828,1293,41535,Australia,Entire home/apt,1,2,499,38,10,10,9,f,1
7881,42828,2848,39980,Australia,Private room,2,1,80,14,9,9,9,f,1
10159395,42828,478,42350,Australia,Private room,1,1,89,0,,,,f,1
16135622,42828,135,42693,Australia,Entire home/apt,2,1,140,8,10,10,10,t,1
17574205,42828,293,42535,Australia,Private room,1,1,45,0,,,,t,1
8462233,42828,1436,41392,Australia,Entire home/apt,2,4,450,0,,,,f,1
8459881,42828,968,41860,Australia,Entire home/apt,1,1,79,19,9,9,10,t,1
5581269,42828,1153,41675,Australia,Entire home/apt,1,0,130,66,10,10,10,f,1
2496135,42828,1127,41701,Australia,Entire home/apt,2.5,3,400,5,8,9,9,t,1
17641860,42828,25,42803,Australia,Entire home/apt,1,1,220,0,,,,t,1
8925579,42828,1397,41431,Australia,Private room,1,1,201,3,9,9,9,f,1
14890454,42828,279,42549,Australia,Entire home/apt,3,4,1250,0,,,,f,1
9908228,42828,481,42347,Australia,Entire home/apt,3,4,1080,2,10,10,10,f,1
16263765,42828,1033,41795,Australia,Entire home/apt,1,1,121,1,10,10,10,f,1
8926500,42828,535,42293,Australia,Entire home/apt,3,4,830,0,,,,f,1
11147070,42828,420,42408,Australia,Entire home/apt,2,4,333,2,10,10,9,f,1
8991255,42828,970,41858,Australia,Entire home/apt,1,2,499,2,10,10,8,f,1
7482059,42828,622,42206,Australia,Entire home/apt,3,5,1100,0,,,,f,1
16003635,42828,363,42465,Australia,Private room,1,1,41,9,9,9,10,t,1
5059126,42828,2265,40563,Australia,Entire home/apt,3.5,5,1000,0,,,,f,1
9511122,42828,740,42088,Australia,Entire home/apt,3,4,950,0,,,,f,1
14692923,42828,224,42604,Australia,Private room,1,1,94,31,10,10,10,t,1
9117981,42828,951,41877,Australia,Entire home/apt,3,5,430,1,8,10,10,f,1
9827171,42828,485,42343,Australia,Entire home/apt,1,2,149,70,10,10,10,t,1
9187968,42828,1124,41704,Australia,Entire home/apt,2,4,1500,0,,,,f,1
9516367,42828,1301,41527,Australia,Entire home/apt,1,0,145,33,10,10,10,f,1
9118111,42828,951,41877,Australia,Entire home/apt,1,3,600,0,,,,f,1
13115820,42828,515,42313,Australia,Entire home/apt,2.5,5,689,22,9,10,10,f,1
1382456,42828,1359,41469,Australia,Entire home/apt,1,1,201,105,10,10,10,f,1
9844097,42828,534,42294,Australia,Entire home/apt,4,5,1350,0,,,,f,1
6889998,42828,655,42173,Australia,Entire home/apt,1.5,1,79,34,10,9,10,f,1
5581984,42828,1328,41500,Australia,Entire home/apt,2,4,425,15,9,10,9,f,1
14885484,42828,554,42274,Australia,Entire home/apt,2,4,700,3,10,10,9,t,1
11281013,42828,1340,41488,Australia,Entire home/apt,2.5,2,225,16,9,10,9,f,1
450017,42828,1802,41026,Australia,Entire home/apt,1,3,260,2,10,10,10,f,1
17048236,42828,785,42043,Australia,Private room,1.5,1,100,0,,,,t,1
7549786,42828,630,42198,Australia,Entire home/apt,1.5,4,250,1,10,10,10,f,1
17032123,42828,515,42313,Australia,Private room,1.5,1,160,7,10,10,10,f,1
11323882,42828,411,42417,Australia,Entire home/apt,2,2,199,1,6,8,8,f,1
12854129,42828,1155,41673,Australia,Entire home/apt,2,3,758,0,,,,f,1
8332175,42828,844,41984,Australia,Entire home/apt,2,2,350,8,10,10,9,f,1
6497187,42828,1209,41619,Australia,Entire home/apt,2.5,3,700,0,,,,f,1
14749768,42828,221,42607,Australia,Private room,1,1,250,0,,,,f,1
10435537,42828,452,42376,Australia,Entire home/apt,1,2,350,8,10,10,9,f,1
15425383,42828,607,42221,Australia,Entire home/apt,2,3,450,2,8,10,10,f,1
14302646,42828,245,42583,Australia,Private room,1,1,115,0,,,,f,1
9452970,42828,779,42049,Australia,Private room,1,1,118,37,10,10,9,f,1
1195527,42828,2199,40629,Australia,Private room,1,1,140,2,8,6,6,f,1
12860969,42828,356,42472,Australia,Entire home/apt,3,5,1800,15,10,10,9,t,1
9979116,42828,1155,41673,Australia,Entire home/apt,3.5,5,2597,0,,,,f,1
6045406,42828,1414,41414,Australia,Private room,2,1,149,0,,,,f,1
14390363,42828,1418,41410,Australia,Entire home/apt,1,1,201,11,10,10,9,f,1
15876086,42828,505,42323,Australia,Entire home/apt,3.5,4,1389,1,10,10,10,f,1
11722762,42828,740,42088,Australia,Entire home/apt,3.5,3,1000,0,,,,f,1
16845495,42828,568,42260,Australia,Entire home/apt,3,2,245,1,10,10,10,f,1
13320318,42828,1361,41467,Australia,Entire home/apt,1.5,3,300,0,,,,t,1
17907875,42828,8,42820,Australia,Entire home/apt,2.5,4,250,0,,,,f,1
5128349,42828,802,42026,Australia,Entire home/apt,1,1,249,46,10,10,9,f,1
2900140,42828,1071,41757,Australia,Entire home/apt,1,1,139,28,9,10,9,f,1
9322790,42828,858,41970,Australia,Entire home/apt,1,1,185,17,9,10,9,f,1
9454074,42828,553,42275,Australia,Entire home/apt,3,5,499,2,9,9,9,t,1
232188,42828,2121,40707,Australia,Entire home/apt,1,4,201,62,9,9,10,f,1
3425736,42828,1388,41440,Australia,Entire home/apt,1,0,79,54,10,9,9,f,1
17253860,42828,200,42628,Australia,Entire home/apt,2,4,450,1,8,10,8,t,1
279082,42828,1952,40876,Australia,Entire home/apt,3,4,720,0,,,,f,1
15745571,42828,1544,41284,Australia,Entire home/apt,1,0,165,7,10,10,10,f,1
14565947,42828,230,42598,Australia,Entire home/apt,3,4,849,2,10,10,10,f,1
9582219,42828,522,42306,Australia,Entire home/apt,3,5,385,0,,,,f,1
9516685,42828,740,42088,Australia,Entire home/apt,2,4,1000,0,,,,f,1
9323120,42828,858,41970,Australia,Entire home/apt,4,7,1375,2,10,10,10,f,1
2900658,42828,1071,41757,Australia,Private room,,1,145,0,,,,f,1
4342571,42828,902,41926,Australia,Entire home/apt,2,3,650,10,9,10,9,f,1
9516854,42828,740,42088,Australia,Entire home/apt,2,3,849,1,10,10,10,f,1
2245452,42828,1396,41432,Australia,Entire home/apt,2,3,796,11,8,10,8,f,1
9516933,42828,740,42088,Australia,Entire home/apt,2,4,1000,1,10,10,10,f,1
8471427,42828,562,42266,Australia,Entire home/apt,2,3,300,3,9,10,9,f,1
14762889,42828,841,41987,Australia,Private room,1,1,121,0,,,,f,1
4342679,42828,902,41926,Australia,Entire home/apt,2.5,4,700,1,10,10,6,f,1
12796839,42828,422,42406,Australia,Entire home/apt,3,4,1350,1,10,10,10,f,1
14828460,42828,1354,41474,Australia,Entire home/apt,1,0,249,18,10,10,9,f,1
11417868,42828,855,41973,Australia,Entire home/apt,1,2,165,33,10,10,10,f,1
13646296,42828,384,42444,Australia,Entire home/apt,2,2,182,2,4,7,6,f,1
9976320,42828,939,41889,Australia,Entire home/apt,1,2,180,48,10,10,10,f,1
2636367,42828,1763,41065,Australia,Entire home/apt,3.5,4,1300,0,,,,f,1
539231,42828,1753,41075,Australia,Entire home/apt,1,1,201,63,10,9,9,f,1
9190138,42828,520,42308,Australia,Private room,1,1,149,66,10,10,10,f,1
12011533,42828,745,42083,Australia,Entire home/apt,2,3,250,0,,,,f,1
4868129,42828,835,41993,Australia,Entire home/apt,1,2,180,15,10,10,10,f,1
16664624,42828,339,42489,Australia,Entire home/apt,1,1,149,4,10,10,10,t,1
16861366,42828,517,42311,Australia,Entire home/apt,1,1,121,5,10,10,9,t,1
9980125,42828,1132,41696,Australia,Private room,1,1,110,2,10,10,10,f,1
14043410,42828,261,42567,Australia,Entire home/apt,1,2,201,10,10,10,9,t,1
12077327,42828,1293,41535,Australia,Entire home/apt,1,3,350,1,8,10,6,f,1
9782987,42828,487,42341,Australia,Entire home/apt,2.5,4,800,6,8,8,9,f,1
16467707,42828,498,42330,Australia,Entire home/apt,1,1,250,4,10,10,9,f,1
4867836,42828,1285,41543,Australia,Entire home/apt,2,3,239,59,9,10,9,f,1
8800111,42828,543,42285,Australia,Entire home/apt,2,3,330,0,,,,f,1
15878022,42828,200,42628,Australia,Entire home/apt,2,4,380,6,10,10,9,t,1
14043872,42828,260,42568,Australia,Entire home/apt,2,3,350,0,,,,f,1
15485465,42828,1286,41542,Australia,Entire home/apt,1.5,3,250,13,9,10,9,t,1
7293513,42828,771,42057,Australia,Entire home/apt,3,4,1199,0,,,,f,1
10041126,42828,474,42354,Australia,Entire home/apt,2,2,750,0,,,,f,1
17910419,42828,878,41950,Australia,Entire home/apt,1,0,111,0,,,,t,1
8472994,42828,634,42194,Australia,Entire home/apt,3.5,5,600,9,9,9,9,f,1
13715902,42828,295,42533,Australia,Entire home/apt,2,3,675,0,,,,t,1
17255751,42828,200,42628,Australia,Entire home/apt,1,2,261,6,10,9,9,t,1
14831156,42828,1009,41819,Australia,Entire home/apt,1,1,140,29,10,10,10,f,1
5459315,42828,1132,41696,Australia,Entire home/apt,3,4,650,0,,,,f,1
16148383,42828,127,42701,Australia,Entire home/apt,3,4,499,0,,,,t,1
2509648,42828,1129,41699,Australia,Entire home/apt,1,0,121,13,10,10,10,f,1
11422561,42828,405,42423,Australia,Entire home/apt,3.5,7,1150,0,,,,f,1
16534974,42828,415,42413,Australia,Entire home/apt,1,1,235,10,10,10,10,t,1
5852109,42828,806,42022,Australia,Entire home/apt,1,1,125,73,10,10,10,f,1
3979088,42828,950,41878,Australia,Private room,1,1,210,9,10,10,10,f,1
16470458,42828,102,42726,Australia,Entire home/apt,2,3,570,0,,,,t,1
17846741,42828,224,42604,Australia,Entire home/apt,1,1,220,1,10,10,10,t,1
2183350,42828,1315,41513,Australia,Private room,1,1,284,70,10,10,9,f,1
13127897,42828,541,42287,Australia,Shared room,1,1,250,0,,,,t,1
4608214,42828,1209,41619,Australia,Entire home/apt,2,4,1000,29,10,10,9,f,1
15290626,42828,381,42447,Australia,Entire home/apt,1,1,85,0,,,,f,1
